Store_ID,subprovince,Title,URL
E301,Dong Nai,PH-BigC DN,"https://www.google.com/maps/place/Pizza+Hut+Big+C+%C4%90%E1%BB%93ng+Nai/@10.9059785,106.8500956,15z/data=!4m8!3m7!1s0x3174df1c823288f5:0x389aec900e91f698!8m2!3d10.9059785!4d106.8500956!9m1!1b1!16s%2Fg%2F1hf2sjpl0?entry=ttu&hl=vi"
E302,Dong Nai,PH-Lotte DN,"https://www.google.com/maps/place/Pizza+Hut/@10.948769,106.870837,15z/data=!4m8!3m7!1s0x3174de78e144549b:0x445ae5ccc7e307e4!8m2!3d10.948769!4d106.870837!9m1!1b1!16s%2Fg%2F11c5swclb0?entry=ttu&hl=vi"
D953,Dong Nai,Vo Thi Sau BH,"https://www.google.com/maps/place/Pizza+Hut+V%C3%B5+Th%E1%BB%8B+S%C3%A1u+%E2%80%93+Bi%C3%AAn+H%C3%B2a/@10.9473896,106.8298608,15z/data=!4m8!3m7!1s0x3174df8f78836a19:0xda294b698e207cff!8m2!3d10.9473896!4d106.8298608!9m1!1b1!16s%2Fg%2F11llpldpt2?entry=ttu&hl=vi"
D918,HCM,Aeon Tan Phu,"https://www.google.com/maps/place/Pizza+Hut+Aeon+Mall+T%C3%A2n+Ph%C3%BA/@10.8016976,106.6171321,15z/data=!4m8!3m7!1s0x31752bfa7c40409b:0xe4ffa196750d1675!8m2!3d10.8016976!4d106.6171321!9m1!1b1!16s%2Fg%2F11f2wclhdv?entry=ttu&hl=vi"
D913,HCM,Coop XLHN,"https://www.google.com/maps/place/Pizza+Hut+CoopMart+XLHN/@10.8482602,106.7741707,15z/data=!4m8!3m7!1s0x3175270b04c20ff3:0xd1a1d6bafccffd28!8m2!3d10.8482602!4d106.7741707!9m1!1b1!16s%2Fg%2F11g6py4vsl?entry=ttu&hl=vi"
D921,HCM,D2 Van Thanh,"https://www.google.com/maps/place/Pizza+Hut+D2+V%C4%83n+Th%C3%A1nh/@10.8059067,106.7160517,15z/data=!4m8!3m7!1s0x3175298253cc7c3d:0x191fe45a7661ec8e!8m2!3d10.8059067!4d106.7160517!9m1!1b1!16s%2Fg%2F11k0c3y5rj?entry=ttu&hl=vi"
D922,HCM,Vo Van Tan,"https://www.google.com/maps/place/Pizza+Hut+V%C3%B5+V%C4%83n+T%E1%BA%A7n/@10.7704974,106.6844566,15z/data=!4m19!1m10!3m9!1s0x31752f584d693f2d:0x4a666d071523b15!2zUGl6emEgSHV0IFbDtSBWxINuIFThuqdu!8m2!3d10.7704974!4d106.6844566!10e5!14m1!1BCgIgAQ!16s%2Fg%2F11f6nl1qt8!3m7!1s0x31752f584d693f2d:0x4a666d071523b15!8m2!3d10.7704974!4d106.6844566!9m1!1b1!16s%2Fg%2F11f6nl1qt8?entry=ttu&hl=vi"
D931,HCM,D4,"https://www.google.com/maps/place/Pizza+Hut+SD+Qu%E1%BA%ADn+4/@10.7590959,106.6929297,17z/data=!4m8!3m7!1s0x31752f065a60c55b:0x4f7760734e18a393!8m2!3d10.7590959!4d106.6978006!9m1!1b1!16s%2Fg%2F11m8sfftt4?entry=ttu&hl=vi"
D923,HCM,Do Xuan Hop,"https://www.google.com/maps/place/Pizza+Hut+%C4%90%E1%BB%97+Xu%C3%A2n+H%E1%BB%A3p/@10.828226,106.7687948,15z/data=!4m8!3m7!1s0x317527290a283c4d:0x38bd2f8d2aae9d6b!8m2!3d10.828226!4d106.7687948!9m1!1b1!16s%2Fg%2F11g1_tlkdk?entry=ttu&hl=vi"
D926,HCM,Giga Mall,"https://www.google.com/maps/place/Pizza+Hut+Giga+mall/@10.8278943,106.7216834,15z/data=!4m8!3m7!1s0x3175274dc0d6943f:0x1d0bd01b71ea951f!8m2!3d10.8278943!4d106.7216834!9m1!1b1!16s%2Fg%2F11fj8ft_rp?entry=ttu&hl=vi"
D908,HCM,HS-Hau Giang D6,"https://www.google.com/maps/place/Pizza+Hut+H%E1%BA%ADu+Giang/@10.7498675,106.6440754,15z/data=!4m8!3m7!1s0x31752e89ccfa3bfb:0x1e84332938f79971!8m2!3d10.7498675!4d106.6440754!9m1!1b1!16s%2Fg%2F11clsy73xv?entry=ttu&hl=vi"
D905,HCM,HS-Luy Ban Bich,"https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Pizza+Hut/@10.7917376,106.6373046,15z/data=!4m8!3m7!1s0x31752eacdc0681ff:0x963f114049f833c5!8m2!3d10.7917376!4d106.6373046!9m1!1b1!16s%2Fg%2F11btrrxqzz?entry=ttu&hl=vi"
D909,HCM,HS-Nguyen Thai Son,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+Th%C3%A1i+S%C6%A1n/@10.8218154,106.6847804,15z/data=!4m8!3m7!1s0x317528fad3e7ee9b:0xd244ee600e9ab17e!8m2!3d10.8218154!4d106.6847804!9m1!1b1!16s%2Fg%2F11c3s942bq?entry=ttu&hl=vi"
D907,HCM,HS-Pham Hung,"https://www.google.com/maps/place/Pizza+Hut+Ph%E1%BA%A1m+H%C3%B9ng/@10.7367049,106.6711616,15z/data=!4m8!3m7!1s0x31752e520f943003:0xa6e40ef91fafa18c!8m2!3d10.7367049!4d106.6711616!9m1!1b1!16s%2Fg%2F11fxzlwjpb?entry=ttu&hl=vi"
D928,HCM,Hoang Hoa Tham,"https://www.google.com/maps/place/Pizza+Hut+Ho%C3%A0ng+Hoa+Th%C3%A1m/@10.7978926,106.6469734,15z/data=!4m8!3m7!1s0x3175297e09e195a7:0x8754d70defda84d7!8m2!3d10.7978926!4d106.6469734!9m1!1b1!16s%2Fg%2F11hdq9933l?entry=ttu&hl=vi"
D935,HCM,Hong Bang,"https://www.google.com/maps/place/Pizza+Hut+H%E1%BB%93ng+B%C3%A0ng/@10.7546945,106.6601896,15z/data=!4m8!3m7!1s0x31752f9c790515fb:0x9c2ea9a65af065cd!8m2!3d10.7546945!4d106.6601896!9m1!1b1!16s%2Fg%2F11jt0dmplt?entry=ttu&hl=vi"
D938,HCM,Huynh Tan Phat D7,"https://www.google.com/maps/place/Pizza+Hut+Hu%E1%BB%B3nh+T%E1%BA%A5n+Ph%C3%A1t+D7/@10.7068361,106.7346474,17z/data=!4m8!3m7!1s0x3175252e0e1c2af5:0x934419239ff04e2b!8m2!3d10.7068308!4d106.7372277!9m1!1b1!16s%2Fg%2F11sdn0cxqx?entry=ttu&hl=vi"
D925,HCM,Le Thi Ha,"https://www.google.com/maps/place/Pizza+Hut+L%C3%AA+Th%E1%BB%8B+H%C3%A0/@10.8854495,106.5957413,17z/data=!4m8!3m7!1s0x3174d557abd87f67:0xbc97b275d6b59064!8m2!3d10.8854442!4d106.5983216!9m1!1b1!16s%2Fg%2F11h2b3_pyc?entry=ttu&hl=vi"
D930,HCM,Le Trong Tan,"https://www.google.com/maps/place/Pizza+Hut+L%C3%AA+Tr%E1%BB%8Dng+T%E1%BA%A5n/@10.8148898,106.6023927,17z/data=!4m8!3m7!1s0x31752b8d064a514b:0xfd829f5890dfc5de!8m2!3d10.8148845!4d106.604973!9m1!1b1!16s%2Fg%2F11j19dbw0k?entry=ttu&hl=vi"
D924,HCM,Le Van Khuong D12,"https://www.google.com/maps/place/Pizza+Hut+L%C3%AA+V%C4%83n+Kh%C6%B0%C6%A1ng/@10.8642603,106.6471787,17z/data=!4m18!1m9!3m8!1s0x317529f0002f97a1:0x78533efe716feebd!2zUGl6emEgSHV0IEzDqiBWxINuIEtoxrDGoW5n!8m2!3d10.864255!4d106.649759!9m1!1b1!16s%2Fg%2F11g22ym7gn!3m7!1s0x317529f0002f97a1:0x78533efe716feebd!8m2!3d10.864255!4d106.649759!9m1!1b1!16s%2Fg%2F11g22ym7gn?entry=ttu&hl=vi"
D914,HCM,Le Van Sy,"https://www.google.com/maps/place/Pizza+Hut+L%C3%AA+V%C4%83n+S%E1%BB%B9/@10.7895543,106.6719377,17z/data=!4m8!3m7!1s0x31752ed539117fb1:0x34cd92e0ba2d6aed!8m2!3d10.789549!4d106.674518!9m1!1b1!16s%2Fg%2F11dftbwqbf?entry=ttu&hl=vi"
D920,HCM,Liberty D7,"https://www.google.com/maps/place/Pizza+Hut+Liberty+Qu%E1%BA%ADn+7/@10.7379354,106.7252979,17z/data=!4m8!3m7!1s0x31752514c2252f3f:0xf8600f1bebb48a52!8m2!3d10.7379302!4d106.7301635!9m1!1b1!16s%2Fg%2F11f6d9175t?entry=ttu&hl=vi"
D932,HCM,MIA,"https://www.google.com/maps/place/Pizza+Hut+S%C3%A0i+G%C3%B2n+Mia/@10.7322379,106.6865875,17z/data=!4m8!3m7!1s0x31752f19475eba5d:0xb03a1898372aee0f!8m2!3d10.7322326!4d106.6891678!9m1!1b1!16s%2Fg%2F11lff2ddqq?entry=ttu&hl=vi"
D917,HCM,Nguyen Duy Trinh,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+Duy+Trinh/@10.7875119,106.7617846,17z/data=!4m8!3m7!1s0x31752678ce0a7ddb:0x6a83dee009d3d9b6!8m2!3d10.7875066!4d106.7643649!9m1!1b1!16s%2Fg%2F11f_p34hts?entry=ttu&hl=vi"
D934,HCM,Nguyen Thi Minh Khai D3,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+Th%E1%BB%8B+Minh+Khai+D3/@10.7745613,106.6850725,17z/data=!4m8!3m7!1s0x31752f4569d9f90b:0x89594c77d8dce85b!8m2!3d10.7745561!4d106.6899381!9m1!1b1!16s%2Fg%2F11qbcdcqvc?entry=ttu&hl=vi"
D939,HCM,Nguyen Van Tang D9,"https://www.google.com/maps/place/Pizza+Hut+Nguy%E1%BB%85n+V%C4%83n+T%C4%83ng/@10.8462776,106.8139542,17z/data=!4m8!3m7!1s0x3175274eeede955d:0x29703b08f9b17fb!8m2!3d10.8462723!4d106.8165345!9m1!1b1!16s%2Fg%2F11k3xhng49?entry=ttu&hl=vi"
D940,HCM,Nguyen Thi Thap D7,"https://www.google.com/maps/place/Pizza+Hut+Signature+-+Nguy%E1%BB%85n+Th%E1%BB%8B+Th%E1%BA%ADp/@10.7386373,106.701045,16z/data=!4m12!1m2!2m1!1spizza+hut+nguyen+thi+thap!3m8!1s0x31752f0dc00a19db:0xe9d6152af7febf79!8m2!3d10.7386373!4d106.7105722!9m1!1b1!15sChlwaXp6YSBodXQgbmd1eWVuIHRoaSB0aGFwIgOIAQFaGyIZcGl6emEgaHV0IG5ndXllbiB0aGkgdGhhcJIBEHBpenphX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11vk2nycwz?entry=ttu&hl=vi"
D911,HCM,No Trang Long,"https://www.google.com/maps/place/Pizza+Hut+N%C6%A1+Trang+Long/@10.8100853,106.6926577,17z/data=!4m8!3m7!1s0x317528c1ebb6c74b:0xcaac44a40574334f!8m2!3d10.81008!4d106.695238!9m1!1b1!16s%2Fg%2F11c5flhwkd?entry=ttu&hl=vi"
E123,HCM,PH-Aeon Binh Tan,"https://www.google.com/maps/place/Pizza+Hut+Aeon+Mall+B%C3%ACnh+T%C3%A2n/@10.7426053,106.6090797,17z/data=!4m8!3m7!1s0x31752dcedacd35ab:0x75dbfb38ef9d214c!8m2!3d10.7426!4d106.61166!9m1!1b1!16s%2Fg%2F11f0klplrm?entry=ttu&hl=vi"
E104,HCM,PH-Lotte Mart,"https://www.google.com/maps/place/Pizza+Hut+Lotte+Mart/@10.7416512,106.6991121,17z/data=!4m8!3m7!1s0x31752f9f47812207:0xf92230c0b6dfa3c6!8m2!3d10.7416459!4d106.7016924!9m1!1b1!16s%2Fg%2F1thy_503?entry=ttu&hl=vi"
