Store_ID,subprovince,Title,URL,Competitor
27,HN,Pizza 4P’s Hoàng Thành,"https://www.google.com/maps/place/Pizza+4P's+To%C3%A0+nh%C3%A0+Ho%C3%A0ng+Th%C3%A0nh/@21.0114871,105.8481847,17z/data=!4m8!3m7!1s0x3135ab5bae8ae05d:0x3a189fb7a23c7bd5!8m2!3d21.0114871!4d105.8507596!9m1!1b1!16s%2Fg%2F11j19dh_bk?authuser=0&hl=vi&entry=ttu&hl=vi",4P
28,HN,Pizza 4P’s Bảo Khánh,"https://www.google.com/maps/place/Pizza+4P%E2%80%99s+B%E1%BA%A3o+Kh%C3%A1nh/@21.031054,105.8475738,17z/data=!4m8!3m7!1s0x3135ab95850c0c9b:0x8f6aaef1b985c9b5!8m2!3d21.031054!4d105.8501487!9m1!1b1!16s%2Fg%2F11bw46_k6g?authuser=0&hl=vi&entry=ttu&hl=vi",4P
29,HN,Pizza 4P’s Tràng Tiền,"https://www.google.com/maps/place/Pizza+4P%E2%80%99s+Tr%C3%A0ng+Ti%E1%BB%81n/@21.0249846,105.8516378,17z/data=!4m8!3m7!1s0x3135ab72f83894e1:0x4737dc743d51a9d4!8m2!3d21.0249846!4d105.8542127!9m1!1b1!16s%2Fg%2F11s8x0d9vq?authuser=0&hl=vi&entry=ttu&hl=vi",4P
30,Da Nang,Pizza 4P's Indochina Da Nang,"https://www.google.com/maps/place/Pizza+4P's+Indochina+Da+Nang/@16.0700193,108.2223326,17z/data=!4m8!3m7!1s0x3142193cf50bef09:0x6f1b1de8e432c22e!8m2!3d16.0700193!4d108.2249075!9m1!1b1!16s%2Fg%2F11j3vtbdz8?authuser=0&hl=vi&entry=ttu&hl=vi",4P
31,Da Nang,Pizza 4P’s Hoàng Văn Thụ,"https://www.google.com/maps/place/Pizza+4P's/@16.0627429,108.2202233,17z/data=!4m8!3m7!1s0x314219ccdf0f40a9:0xd24d1244e66dad46!8m2!3d16.0627429!4d108.2227982!9m1!1b1!16s%2Fg%2F11c2pmpqmg?authuser=0&hl=vi&entry=ttu&hl=vi",4P
32,Khanh Hoa,Pizza 4P’s Sheraton Nha Trang,"https://www.google.com/maps/place/Pizza+4P's+Nha+Trang/@12.2462509,109.1771403,15z/data=!4m12!1m2!2m1!1sPizza+4P%E2%80%99s+Sheraton+Nha+Trang!3m8!1s0x3170671ee8e8e5e5:0xf482903fd33692ad!8m2!3d12.2462509!4d109.1961947!9m1!1b1!15sCh9QaXp6YSA0UOKAmXMgU2hlcmF0b24gTmhhIFRyYW5nIgOIAQFaHyIdcGl6emEgNHAncyBzaGVyYXRvbiBuaGEgdHJhbmeSARBwaXp6YV9yZXN0YXVyYW504AEA!16s%2Fg%2F11h5n8z2fn?authuser=0&hl=vi&entry=ttu&hl=vi",4P
81999,HCM,Dominos - DINH BO LINH,"https://www.google.com/maps/place/Domino's+Pizza/@10.8091057,106.7068292,17z/data=!4m18!1m9!3m8!1s0x317528bd72c57719:0xafa248faeb26b8be!2sDomino's+Pizza!8m2!3d10.8091004!4d106.7094041!9m1!1b1!16s%2Fg%2F11c4s6kn2d!3m7!1s0x317528bd72c57719:0xafa248faeb26b8be!8m2!3d10.8091004!4d106.7094041!9m1!1b1!16s%2Fg%2F11c4s6kn2d?entry=ttu&hl=vi",Domino
82004,HCM,Dominos - PHAN VAN TRI,"https://www.google.com/maps/place/Domino's+Pizza/@10.8237706,106.6892168,17z/data=!4m8!3m7!1s0x317528f1b7a2ca6b:0xd5bb6d73d39c8249!8m2!3d10.8237653!4d106.6917917!9m1!1b1!16s%2Fg%2F11c462sxnt?entry=ttu&hl=vi",Domino
82009,HCM,Dominos - NGUYEN KIEM,"https://www.google.com/maps/place/Domino's+Pizza+Nguy%E1%BB%85n+Ki%E1%BB%87m/@10.8079037,106.6761191,17z/data=!4m8!3m7!1s0x31752918226be353:0xfbfb874a203af771!8m2!3d10.8078984!4d106.678694!9m1!1b1!16s%2Fg%2F1td6_h2g?entry=ttu&hl=vi",Domino
81988,HCM,Dominos - LE VAN SY,"https://www.google.com/maps/place/Domino's+Pizza/@10.7957028,106.6635033,17z/data=!4m8!3m7!1s0x31752ed540d813a3:0x22d243f88e3ddd7!8m2!3d10.7956975!4d106.6660782!9m1!1b1!16s%2Fg%2F11b6mmmd86?entry=ttu&hl=vi",Domino
81995,HCM,Dominos - KHA VAN CAN,"https://www.google.com/maps/place/Domino's+Pizza+Kha+V%E1%BA%A1n+C%C3%A2n/@10.8466533,106.7487517,17z/data=!4m8!3m7!1s0x317527b8f02b4037:0x1eb8623512379821!8m2!3d10.846648!4d106.7513266!9m1!1b1!16s%2Fg%2F11b7m9jk_y?entry=ttu&hl=vi",Domino
81998,HCM,Dominos - DUONG BA TRAC,"https://www.google.com/maps/place/Domino's+Pizza+D%C6%B0%C6%A1ng+B%C3%A1+Tr%E1%BA%A1c/@10.7461503,106.6863613,17z/data=!4m8!3m7!1s0x31752fa78d992811:0xc5b84c7528dab521!8m2!3d10.746145!4d106.6889362!9m1!1b1!16s%2Fg%2F11clydhrx5?entry=ttu&hl=vi",Domino
82001,HCM,Dominos - LE VAN VIET,"https://www.google.com/maps/place/Domino's+Pizza+L%C3%AA+V%C4%83n+Vi%E1%BB%87t/@10.8439163,106.7796954,17z/data=!4m8!3m7!1s0x31752711fcf07a91:0x1a139ce2bb37c951!8m2!3d10.843911!4d106.7822703!9m1!1b1!16s%2Fg%2F11cpjg6ppb?entry=ttu&hl=vi",Domino
82017,HCM,Dominos - QUOC HUONG,"https://www.google.com/maps/place/Domino's+Pizza+Qu%E1%BB%91c+H%C6%B0%C6%A1ng/@10.8026214,106.7300148,17z/data=!4m8!3m7!1s0x3175270193345819:0x865eaec87e196cd7!8m2!3d10.8026161!4d106.7325897!9m1!1b1!16s%2Fg%2F11j57m3fsq?entry=ttu&hl=vi",Domino
81989,HCM,Dominos - HOA BINH,"https://www.google.com/maps/place/Domino's+Pizza+-+H%C3%B2a+B%C3%ACnh/@10.7675053,106.6382584,17z/data=!4m8!3m7!1s0x31752e99d6e40d81:0xa8b1a4687760d9bf!8m2!3d10.7675!4d106.6408333!9m1!1b1!16s%2Fg%2F11b7tgqk9w?entry=ttu&hl=vi",Domino
81994,HCM,Dominos - TEN LUA,"https://www.google.com/maps/place/Domino's+Pizza+T%C3%AAn+L%E1%BB%ADa/@10.7520921,106.6080347,17z/data=!4m8!3m7!1s0x31752c349752068d:0xe3670277b7fcba7d!8m2!3d10.7520868!4d106.6106096!9m1!1b1!16s%2Fg%2F11bzrh9rws?entry=ttu&hl=vi",Domino
